State name,Population,Male,Female
RAJASTHAN,2603751,1369022,1234729
RAJASTHAN,1828730,936634,892096
RAJASTHAN,1036346,534231,502115
RAJASTHAN,2037573,1025422,1012151
RAJASTHAN,2583052,1324085,1258967
RAJASTHAN,1421326,728136,693190
RAJASTHAN,1110906,577160,533746
RAJASTHAN,2408523,1220736,1187787
RAJASTHAN,1156597,581339,575258
RAJASTHAN,1388552,696532,692020
RAJASTHAN,1797485,907754,889731
RAJASTHAN,1544338,783171,761167
RAJASTHAN,1951014,1021161,929853
RAJASTHAN,1222755,633945,588810
RAJASTHAN,1411129,725143,685986
RAJASTHAN,3068420,1566801,1501619
RAJASTHAN,867848,437744,430104
BIHAR,3935042,2061110,1873932
BIHAR,5099371,2681209,2418162
BIHAR,656246,346673,309573
BIHAR,3423574,1803252,1620322
BIHAR,4487379,2329313,2158066
BIHAR,2229076,1155283,1073793
BIHAR,2811569,1463333,1348236
BIHAR,1690400,866970,823430
BIHAR,3264619,1699370,1565249
BIHAR,3071029,1600430,1470599
BIHAR,2001762,1047559,954203
BIHAR,1900661,997174,903487
BIHAR,3937385,2059949,1877436
BIHAR,4801062,2527497,2273565
BIHAR,2562012,1267666,1294346
BIHAR,3330464,1675090,1655374
BIHAR,3951862,2022821,1929041
BIHAR,3495021,1844535,1650486
BIHAR,4261566,2230003,2031563
BIHAR,2970541,1567660,1402881
BIHAR,1666886,883786,783100
BIHAR,3037766,1615663,1422103
BIHAR,2034763,1067140,967623
BIHAR,1367765,729041,638724
BIHAR,1000912,526345,474567
BIHAR,636342,329743,306599
BIHAR,2877653,1497060,1380593
BIHAR,5838465,3078512,2759953
BIHAR,2728407,1430380,1298027
BIHAR,1706352,887977,818375
BIHAR,1626384,847006,779378
BIHAR,2959918,1543546,1416372
BIHAR,2540073,1318684,1221389
BIHAR,4391418,2266566,2124852
BIHAR,2219146,1144668,1074478
BIHAR,1760405,916064,844341
BIHAR,1125313,585582,539731
BIHAR,700843,363497,337346
SIKKIM,43709,24730,18979
SIKKIM,136435,70238,66197
SIKKIM,146850,76670,70180
SIKKIM,283583,151432,132151
ARUNACHAL PRADESH,49977,29151,20826
ARUNACHAL PRADESH,83947,46155,37792
ARUNACHAL PRADESH,78690,38775,39915
ARUNACHAL PRADESH,176573,89182,87391
ARUNACHAL PRADESH,83448,41758,41690
ARUNACHAL PRADESH,112274,58168,54106
ARUNACHAL PRADESH,99214,50116,49098
ARUNACHAL PRADESH,35320,18699,16621
ARUNACHAL PRADESH,148226,76948,71278
ARUNACHAL PRADESH,111975,57604,54371
ARUNACHAL PRADESH,83030,41843,41187
ARUNACHAL PRADESH,92076,45318,46758
ARUNACHAL PRADESH,8004,4414,3590
ARUNACHAL PRADESH,54080,28053,26027
ARUNACHAL PRADESH,145726,76221,69505
ARUNACHAL PRADESH,21167,11507,9660
